Name,Type,Years of Sponsorship,Funding Request,Finance Officer,Finance Committee,Final Allocation
Democratic Education at Cal (DeCal) Board,SISG,32,5000.00,5000.00,5000.00,5000.00
Disabled Students' Union,SISG,10,800.00,800.00,800.00,800.00
Dr. Interns,SISG,2,200.00,200.00,200.00,200.00
Drawn to Scale,SISG,4,400.00,400.00,400.00,400.00
DULCE (Diabetes: Unidos Lograremos Controlar Esta Enfermedad),SISG,7,550.00,550.00,550.00,550.00
Empathy FX International Inc,SISG,2,18000.00,500.00,1500.00,1500.00
"Engineers Without Borders, University of California Berkeley, Student Chapter",SISG,3,500.00,500.00,500.00,0.00
EthiCAL Apparel,SISG,5,1000.00,600.00,600.00,600.00
Expanding Your Horizons at Berkeley,SISG,3,1000.00,700.00,700.00,0.00
FeelGood Berkeley,SISG,7,782.00,782.00,782.00,782.00
Footprintz at Berkeley,SISG,2,500.00,500.00,500.00,500.00
Free Racquet Club at Berkeley,SISG,2,168.00,168.00,168.00,168.00
"Gamma Zeta Alpha Fraternity, Inc.",SISG,7,3830.00,1000.00,1000.00,1000.00
Gates Millennium Student Association,SISG,8,860.00,860.00,860.00,860.00
Global Health Brigades (formerly Global Medical Brigades),SISG,8,300.00,300.00,300.00,300.00
Global Internships @ Berkeley,SISG,2,200.00,200.00,200.00,200.00
Grant A Wish at Berkeley,SISG,2,200.00,200.00,200.00,200.00
Greening the Greeks,SISG,4,7000.00,900.00,900.00,900.00
Health and Medical Apprenticeship Program,SISG,30,31265.00,8000.00,14500.00,14500.00
Hermanas Unidas de UC Berkeley,SISG,9,900.00,900.00,900.00,900.00
Hermanos Unidos,SISG,9,450.00,450.00,600.00,600.00
Hmong Student Association at Berkeley,SISG,7,1500.00,1100.00,1500.00,1500.00
Inside the Living Room,SISG,5,400.00,400.00,400.00,400.00
International Service Learning at Berkeley,SISG,1,640.00,300.00,300.00,300.00
"Iota Phi Theta Fraternity, Inc.",SISG,2,1500.00,500.00,500.00,500.00
Iu-Mien Student Union,SISG,8,6000.00,1300.00,1300.00,1300.00
Labor Coach Program,SISG,4,800.00,800.00,800.00,800.00
"Lambda Theta Alpha Latin Sorority, Inc. Delta Omicron Chapter",SISG,8,2600.00,500.00,500.00,500.00
"Lambda Theta Nu Sorority, Inc.",SISG,5,3638.00,600.00,600.00,600.00
"Lambda Theta Phi Latin Fraternity, Inc.",SISG,8,6066.00,1500.00,1500.00,1500.00
"Lambda Upsilon Lambda Fraternity, Incorporated",SISG,3,1770.00,700.00,700.00,700.00
Laotian American Student Representatives,SISG,16,850.00,850.00,850.00,850.00
Let's Rise Asian Mentorship,SISG,11,4500.00,1500.00,1500.00,1500.00
Magnolia Project,SISG,8,2000.00,900.00,900.00,900.00
MEDLIFE,SISG,4,450.00,450.00,450.00,450.00
Microfinance at Berkeley,SISG,3,400.00,400.00,400.00,400.00
Mixed Student Union,SISG,18,1500.00,400.00,1300.00,1300.00
Multi-Cultural Greek Council,SISG,1,1000.00,300.00,300.00,300.00
National Council of Negro Women,SISG,8,3800.00,2300.00,2300.00,2300.00
National Pan-Hellenic Council,SISG,1,3550.00,300.00,300.00,300.00
Native American Recruitment and Retention Center,SISG,22,14000.00,6500.00,11000.00,11000.00
Oakland Asian Student Educational Services,SISG,12,2300.00,1000.00,1000.00,1000.00
Oakland Community Builders,SISG,2,500.00,500.00,500.00,500.00
"Omega Phi Beta Sorority, Incorporated",SISG,4,3000.00,900.00,900.00,900.00
Open Computing Facility,SISG,25,45220.00,20000.00,20000.00,20000.00
Patient Advocacy Student Group,SISG,2,500.00,500.00,500.00,500.00
People's Test Preparation Service,SISG,18,5000.00,3700.00,3700.00,3700.00
PERSIST - People Eliminating Resource Scarcity In Support of Teachers,SISG,2,350.00,350.00,350.00,350.00
Picknic (Formerly Project Nutrition),SISG,2,150.00,150.00,150.00,150.00
Pilipino Academic Student Services,SISG,30,31020.00,17500.00,29000.00,29000.00
Professional Development in Asia,SISG,2,193.49,194.00,194.00,194.00
"Project RISHI, The Berkeley Chapter",SISG,7,790.00,790.00,790.00,790.00
